,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,21963,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,26669.99804792787
1,10410,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,26669.99804792787
2,38301,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,26669.99711272937
3,44997,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,26669.99711272937
4,16861,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,26669.99711272937
5,7720,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,26669.99711272937
6,22162,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,26669.995861525407
7,13431,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,26669.995861525407
8,28737,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,26669.995861525407
9,41391,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,26669.99077413041
10,13705,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,26669.99062721148
11,41447,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,26669.99062721148
12,27512,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,26669.99062721148
13,44248,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,26669.990034425547
14,7755,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,26669.973552673968
15,25267,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,26669.973552673968
16,39689,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,26669.973552673968
17,15031,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,26669.97139716536
18,10307,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,26669.97139716536
19,39568,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,26669.97139716536
20,42595,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,26669.97139716536
21,21105,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,26669.958593216787
22,22739,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,26669.958593216787
23,37144,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,26669.958593216787
24,32367,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,26669.93539239288
25,44899,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,26669.93539239288
26,2408,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,26669.93539239288
27,38238,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,26669.928896994214
28,342,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,26669.917630595657
29,37322,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,26669.917630595657
30,21967,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,26669.91483514122
31,13832,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,26669.91483514122
32,38034,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,26669.91483514122
33,14916,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,26669.90455783644
34,7685,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,26669.90455783644
35,20194,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,26669.90455783644
36,13458,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,26669.90455783644
37,40412,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,26669.903201588906
38,25461,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,26669.903201588906
39,7665,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,26669.854667483134
40,36516,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,26669.854667483134
41,33886,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,26669.854667483134
42,27558,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,26669.84332358939
43,9595,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,26669.84332358939
44,37624,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,26669.84332358939
45,9722,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,26669.84332358939
46,33581,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,26669.84332358939
47,42416,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,26669.84332358939
48,22362,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,26669.84332358939
